관리번호,발전소명(공단),호기,용량(MW),소재지
1,영덕,1,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,2,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,3,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,4,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,5,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,6,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,7,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,8,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,9,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,10,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,11,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,12,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,13,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,14,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,15,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,16,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,17,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,19,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,22,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,23,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,24,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,25,1.65,경북 영덕군 영덕읍 창포리 산24-3
1,영덕,26,1.65,경북 영덕군 영덕읍 창포리 산24-3
2,신창,1,0.85,제주특별자치도 제주시 구좌읍 행원리 438-3
2,신창,2,0.85,제주특별자치도 제주시 구좌읍 행원리 438-3
3,양양,1,1.5,강원특별자치도 인제군 기린면 진동리 112
3,양양,2,1.5,강원특별자치도 인제군 기린면 진동리 112
4,강원풍력,1,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,2,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,3,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,4,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,5,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,6,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,8,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,9,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,10,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,11,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,12,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,13,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,14,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,15,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,16,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,17,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,18,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,19,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,20,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,21,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,22,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,23,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,24,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,25,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,26,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,27,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,28,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,29,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,31,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,32,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,33,2,강원특별자치도 평창군 대관령면 횡계리 470-3
4,강원풍력,34,2,강원특별자치도 평창군 대관령면 횡계리 470-3
5,월정,-,1.5,제주특별자치도 제주시 구좌읍 월정리 1916
6,전북1,1,0.75,전북 군산시 비응도동 17
6,전북1,2,0.75,전북 군산시 비응도동 17
6,전북1,3,0.75,전북 군산시 비응도동 17
6,전북1,4,0.75,전북 군산시 비응도동 17
6,전북1,5,0.75,전북 군산시 비응도동 17
6,전북1,6,0.75,전북 군산시 비응도동 17
